,인허가일자,상세영업상태코드,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y)
101439,20210225.0,1,서울특별시 송파구 가락로 90 1층 102호 (석촌동),5696.0,땅스 부대찌개(송파 석촌점),209313.6807,444266.7414
101579,20210302.0,1,서울특별시 동대문구 전농로3길 100 1층 (답십리동),2599.0,식사준비 답십리점,204895.5205,452213.1187
101594,20210302.0,1,서울특별시 노원구 초안산로2라길 26 제상가동 1층 112호 (월계동 월계센트럴아이파크아파트),1879.0,담꾹 월계점,205026.9824,458761.3943
101597,20210302.0,1,서울특별시 서대문구 통일로 428-1 1층 (홍제동),3630.0,담꾹홍제역점,195152.9389,453925.7621
101928,20210305.0,1,서울특별시 성북구 길음로 33 제상가비동 제지2층 17호 (길음동 길음뉴타운),2720.0,담꾹 길음점,201514.9828,456137.0843
102091,20210309.0,1,서울특별시 동대문구 사가정로25길 5 1층 102호 (장안동),2518.0,담꾹 장안삼거리점,206126.0803,452979.05299999996
102268,20210615.0,1,서울특별시 동대문구 신이문로 24 1층 (이문동),2411.0,담꾹(신이문점),205653.6626,455613.7995
102553,20210316.0,1,서울특별시 송파구 충민로2길 24 리더스프라자 1층 102호 (장지동),5816.0,담꾹 장지점,211186.444,441726.6926
102589,20210317.0,1,서울특별시 금천구 시흥대로 291 310동 B11호 (독산동 금천롯데캐슬골드파크3차),8608.0,담꾹 금천롯데캐슬점,,
102654,20210318.0,1,서울특별시 노원구 동일로 1368 롯데프라자빌딩 1층 103호 (상계동),1756.0,담꾹 노원 백병원점,205396.5166,460932.2832
102762,20210319.0,1,서울특별시 구로구 서해안로 2104 엠프라자 1층 106호 (항동),8368.0,담꾹구로항동점,184347.9612,442014.875
102766,20210325.0,1,서울특별시 성동구 살곶이8길 2 1층 (행당동),4764.0,더팜홈쿡 왕십리한양대점,203554.1584,450547.5055
102820,20210322.0,1,서울특별시 서대문구 증가로 129 1층 (남가좌동),3692.0,담꾹남가좌점,193149.9281,452777.5353
102889,20210323.0,1,서울특별시 도봉구 노해로63다길 25 기원빌딩 1층 (창동),1399.0,담꾹 창동역점,203994.5889,461298.3592
102919,20210324.0,1,서울특별시 동대문구 전농로 110 1층 (답십리동),2538.0,담꾹 답십리점,205042.80800000002,452478.4171
102930,20210324.0,1,서울특별시 양천구 목동동로 55 밀레니엄 프라자 1층 105호 (신정동),8093.0,담꾹(양천구청점),187675.9942,445930.4186
103093,20210329.0,1,서울특별시 성북구 월계로40길 7 센트럴타운 118호 (장위동),2759.0,담꾹 장위뉴타운점,204208.6312,457844.348
103130,20210618.0,1,서울특별시 양천구 남부순환로79길 21 1층 (신월동),8064.0,오늘쉐프 신월점,185970.093,446138.9306
103196,20210330.0,1,서울특별시 강서구 공항대로41길 66 세신등촌종합상가 1층 121호 (등촌동),7587.0,담꾹 등촌점,186378.2318,450937.8772
103495,20210405.0,1,서울특별시 도봉구 도봉로110나길 27 1층 103호 (창동),1455.0,담꾹 쌍문역점,203004.9837,460565.4389
103584,20210406.0,1,서울특별시 구로구 천왕로 56 상가동 1층 101호 (천왕동 천왕 이펜하우스 3단지),8365.0,담꾹(구로천왕점),185793.6637,442272.0246
103587,20210406.0,1,서울특별시 금천구 금하로 632 김안과의원 1층 (시흥동),8628.0,오늘쉐프,191198.7203,439169.4293
103699,20210622.0,1,서울특별시 은평구 연서로29길 24 1층 (갈현동),3330.0,집어가 연신내점,192667.438,457480.9901
103717,20210409.0,1,서울특별시 송파구 오금로46길 32 1층 101호 (가락동),5783.0,담꾹 개롱점,211785.22,443652.73
103763,20210622.0,1,서울특별시 구로구 구일로8길 92 상가동 101호 (구로동 중앙구로하이츠아파트),8323.0,오늘쉐프 구일점,188973.6573,443848.7156
104066,20210705.0,1,서울특별시 강서구 마곡중앙*로 ** 에스비타운 *층 ***호 (마곡동),7599.0,더팜홈쿡 신방화역점,183897.0,451681.0
104136,20210419.0,1,서울특별시 성북구 종암로18길 13 1층 (종암동),2797.0,더팜홈쿡 종암점,203057.7729,455184.795
104210,20210624.0,1,서울특별시 강북구 오패산로 ***-* *층 (번동),1064.0,오늘쉐프수유역점,202403.8578,459348.3326
104225,20210420.0,1,서울특별시 중랑구 신내로 225 디아뜨갤러리 1층 129호 (신내동),2024.0,담꾹 봉화산역점,207990.4793,457183.6378
104236,20210624.0,1,서울특별시 노원구 한글비석로20길 23-1 1층 (중계동),1662.0,오늘쉐프,206435.5156,461986.823
